name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
bgwriter_flush_after,0,8kB,Resource Usage / Background Writer,sighup,integer,default,0,0,False
bgwriter_lru_maxpages,100,,Resource Usage / Background Writer,sighup,integer,default,100,100,False
bgwriter_lru_multiplier,2,,Resource Usage / Background Writer,sighup,real,default,2,2,False
block_size,8192,,Preset Options,internal,integer,default,8192,8192,False
bonjour,off,,Connections and Authentication / Connection Settings,postmaster,bool,default,off,off,False
bonjour_name,,,Connections and Authentication / Connection Settings,postmaster,string,default,,,False
bytea_output,hex,,Client Connection Defaults / Statement Behavior,user,enum,default,hex,hex,False
check_function_bodies,on,,Client Connection Defaults / Statement Behavior,user,bool,default,on,on,False
checkpoint_completion_target,0.9,,Write-Ahead Log / Checkpoints,sighup,real,default,0.9,0.9,False
checkpoint_flush_after,0,8kB,Write-Ahead Log / Checkpoints,sighup,integer,default,0,0,False
checkpoint_timeout,300,s,Write-Ahead Log / Checkpoints,sighup,integer,default,300,300,False
checkpoint_warning,30,s,Write-Ahead Log / Checkpoints,sighup,integer,default,30,30,False
client_connection_check_interval,0,ms,Connections and Authentication / TCP Settings,user,integer,default,0,0,False
client_encoding,UTF8,,Client Connection Defaults / Locale and Formatting,user,string,default,SQL_ASCII,UTF8,False
client_min_messages,notice,,Client Connection Defaults / Statement Behavior,user,enum,default,notice,notice,False
cluster_name,,,Reporting and Logging / Process Title,postmaster,string,default,,,False
commit_delay,0,,Write-Ahead Log / Settings,superuser,integer,default,0,0,False
commit_siblings,5,,Write-Ahead Log / Settings,user,integer,default,5,5,False
commit_timestamp_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,0,32,False
compute_query_id,auto,,Statistics / Monitoring,superuser,enum,default,auto,auto,False
config_file,C:/Users/Paul/Desktop/dev/surveyCatalyst/postgres/data/postgresql.conf,,File Locations,postmaster,string,override,,C:/Users/Paul/Desktop/dev/surveyCatalyst/postgres/data/postgresql.conf,False
constraint_exclusion,partition,,Query Tuning / Other Planner Options,user,enum,default,partition,partition,False
cpu_index_tuple_cost,0.005,,Query Tuning / Planner Cost Constants,user,real,default,0.005,0.005,False
cpu_operator_cost,0.0025,,Query Tuning / Planner Cost Constants,user,real,default,0.0025,0.0025,False
cpu_tuple_cost,0.01,,Query Tuning / Planner Cost Constants,user,real,default,0.01,0.01,False
createrole_self_grant,,,Client Connection Defaults / Statement Behavior,user,string,default,,,False
cursor_tuple_fraction,0.1,,Query Tuning / Other Planner Options,user,real,default,0.1,0.1,False
data_checksums,on,,Preset Options,internal,bool,default,off,on,False
data_directory,C:/Users/Paul/Desktop/dev/surveyCatalyst/postgres/data,,File Locations,postmaster,string,override,,C:/Users/Paul/Desktop/dev/surveyCatalyst/postgres/data,False
data_directory_mode,0700,,Preset Options,internal,integer,default,448,448,False
data_sync_retry,off,,Error Handling,postmaster,bool,default,off,off,False
deadlock_timeout,1000,ms,Lock Management,superuser,integer,default,1000,1000,False
debug_assertions,off,,Preset Options,internal,bool,default,off,off,False
debug_discard_caches,0,,Developer Options,superuser,integer,default,0,0,False
debug_io_direct,,,Developer Options,postmaster,string,default,,,False
debug_logical_replication_streaming,buffered,,Developer Options,user,enum,default,buffered,buffered,False
debug_parallel_query,off,,Developer Options,user,enum,default,off,off,False
